Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-12-11,2015/2016,Boavista,Estoril,D,,,,2015-12-11,Boavista,Estoril,1.0,3.0,8.0,5.0,3.0,4.0,7.0,5.0
2015-12-12,2015/2016,Guimaraes,Maritimo,A,,,,2015-12-12,Guimaraes,Maritimo,10.0,7.0,4.0,5.0,6.0,5.0,8.0,7.0
2015-12-12,2015/2016,Pacos Ferreira,Uniao Madeira,H,,,,2015-12-12,Pacos Ferreira,Uniao Madeira,6.0,5.0,5.0,7.0,4.0,4.0,8.0,6.0
2015-12-12,2015/2016,Rio Ave,Arouca,H,,,,2015-12-12,Rio Ave,Arouca,4.0,6.0,9.0,5.0,6.0,5.0,5.0,6.0
2015-12-12,2015/2016,Setubal,Benfica,A,,,,2015-12-12,Setubal,Benfica,8.0,7.0,4.0,7.0,12.0,11.0,3.0,8.0
2015-12-13,2015/2016,Sp Lisbon,Moreirense,H,,,,2015-12-13,Sp Lisbon,Moreirense,15.0,7.0,0.0,8.0,8.0,4.0,3.0,7.0
2015-12-13,2015/2016,Tondela,Sp Braga,A,,,,2015-12-13,Tondela,Sp Braga,1.0,2.0,10.0,7.0,8.0,5.0,2.0,7.0
2015-12-14,2015/2016,Academica,Belenenses,H,,,,2015-12-14,Academica,Belenenses,4.0,4.0,7.0,10.0,6.0,3.0,9.0,9.0
2015-12-14,2015/2016,Nacional,Porto,A,,,,2015-12-14,Nacional,Porto,8.0,5.0,3.0,8.0,13.0,9.0,1.0,9.0
2015-12-15,2015/2016,Uniao Madeira,Benfica,D,,,,2015-12-15,Uniao Madeira,Benfica,4.0,4.0,13.0,3.0,15.0,15.0,2.0,3.0
2015-12-19,2015/2016,Arouca,Maritimo,H,,,,2015-12-19,Arouca,Maritimo,5.0,5.0,7.0,7.0,9.0,9.0,9.0,7.0
2015-12-19,2015/2016,Estoril,Guimaraes,A,,,,2015-12-19,Estoril,Guimaraes,3.0,3.0,6.0,8.0,9.0,9.0,7.0,7.0
2015-12-20,2015/2016,Benfica,Rio Ave,H,,,,2015-12-20,Benfica,Rio Ave,13.0,11.0,2.0,5.0,6.0,7.0,8.0,8.0
2015-12-20,2015/2016,Moreirense,Nacional,H,,,,2015-12-20,Moreirense,Nacional,8.0,5.0,4.0,7.0,7.0,6.0,5.0,6.0
2015-12-20,2015/2016,Porto,Academica,H,,,,2015-12-20,Porto,Academica,15.0,11.0,2.0,6.0,6.0,7.0,9.0,6.0
2015-12-20,2015/2016,Tondela,Setubal,A,,,,2015-12-20,Tondela,Setubal,0.0,1.0,10.0,7.0,5.0,7.0,8.0,8.0
2015-12-20,2015/2016,Uniao Madeira,Sp Lisbon,H,,,,2015-12-20,Uniao Madeira,Sp Lisbon,5.0,4.0,12.0,5.0,15.0,7.0,1.0,7.0
2015-12-21,2015/2016,Belenenses,Boavista,H,,,,2015-12-21,Belenenses,Boavista,3.0,5.0,13.0,7.0,1.0,4.0,9.0,10.0
2015-12-21,2015/2016,Sp Braga,Pacos Ferreira,D,,,,2015-12-21,Sp Braga,Pacos Ferreira,10.0,6.0,2.0,8.0,6.0,9.0,5.0,9.0
2016-01-02,2015/2016,Academica,Uniao Madeira,H,,,,2016-01-02,Academica,Uniao Madeira,5.0,7.0,11.0,13.0,7.0,3.0,10.0,13.0
2016-01-02,2015/2016,Boavista,Moreirense,A,,,,2016-01-02,Boavista,Moreirense,1.0,4.0,9.0,12.0,10.0,6.0,3.0,13.0
2016-01-02,2015/2016,Guimaraes,Benfica,A,,,,2016-01-02,Guimaraes,Benfica,9.0,9.0,7.0,14.0,13.0,12.0,3.0,13.0
2016-01-02,2015/2016,Maritimo,Estoril,D,,,,2016-01-02,Maritimo,Estoril,6.0,9.0,13.0,14.0,3.0,3.0,6.0,14.0
2016-01-02,2015/2016,Nacional,Arouca,D,,,,2016-01-02,Nacional,Arouca,7.0,6.0,6.0,13.0,7.0,9.0,8.0,14.0
2016-01-02,2015/2016,Pacos Ferreira,Belenenses,D,,,,2016-01-02,Pacos Ferreira,Belenenses,7.0,10.0,5.0,12.0,6.0,6.0,9.0,12.0
2016-01-02,2015/2016,Setubal,Sp Braga,D,,,,2016-01-02,Setubal,Sp Braga,7.0,10.0,9.0,13.0,8.0,3.0,3.0,12.0
2016-01-02,2015/2016,Sp Lisbon,Porto,H,,,,2016-01-02,Sp Lisbon,Porto,12.0,6.0,2.0,13.0,15.0,12.0,3.0,13.0
2016-01-03,2015/2016,Rio Ave,Tondela,A,,,,2016-01-03,Rio Ave,Tondela,3.0,7.0,11.0,14.0,0.0,2.0,9.0,14.0
2016-01-06,2015/2016,Arouca,Estoril,H,,,,2016-01-06,Arouca,Estoril,8.0,11.0,9.0,4.0,3.0,3.0,6.0,4.0
2016-01-06,2015/2016,Belenenses,Nacional,D,,,,2016-01-06,Belenenses,Nacional,4.0,6.0,10.0,4.0,5.0,7.0,8.0,4.0
2016-01-06,2015/2016,Benfica,Maritimo,H,,,,2016-01-06,Benfica,Maritimo,13.0,11.0,3.0,4.0,4.0,7.0,12.0,4.0
2016-01-06,2015/2016,Moreirense,Guimaraes,A,,,,2016-01-06,Moreirense,Guimaraes,10.0,7.0,3.0,4.0,9.0,9.0,7.0,4.0
2016-01-06,2015/2016,Porto,Rio Ave,D,,,,2016-01-06,Porto,Rio Ave,12.0,11.0,5.0,4.0,3.0,7.0,11.0,3.0
2016-01-06,2015/2016,Setubal,Sp Lisbon,A,,,,2016-01-06,Setubal,Sp Lisbon,8.0,11.0,8.0,4.0,12.0,7.0,2.0,4.0
2016-01-06,2015/2016,Sp Braga,Academica,H,,,,2016-01-06,Sp Braga,Academica,6.0,3.0,4.0,4.0,7.0,9.0,11.0,4.0
2016-01-06,2015/2016,Tondela,Pacos Ferreira,A,,,,2016-01-06,Tondela,Pacos Ferreira,3.0,4.0,9.0,3.0,8.0,12.0,5.0,4.0
2016-01-06,2015/2016,Uniao Madeira,Boavista,H,,,,2016-01-06,Uniao Madeira,Boavista,7.0,4.0,9.0,4.0,1.0,4.0,10.0,4.0
2016-01-09,2015/2016,Guimaraes,Arouca,D,,,,2016-01-09,Guimaraes,Arouca,9.0,11.0,9.0,3.0,10.0,11.0,8.0,3.0
2016-01-10,2015/2016,Academica,Tondela,H,,,,2016-01-10,Academica,Tondela,6.0,8.0,13.0,4.0,3.0,4.0,10.0,4.0
2016-01-10,2015/2016,Boavista,Porto,A,,,,2016-01-10,Boavista,Porto,1.0,3.0,9.0,4.0,10.0,8.0,6.0,4.0
2016-01-10,2015/2016,Estoril,Belenenses,H,,,,2016-01-10,Estoril,Belenenses,3.0,3.0,5.0,4.0,5.0,8.0,11.0,4.0
2016-01-10,2015/2016,Maritimo,Moreirense,H,,,,2016-01-10,Maritimo,Moreirense,4.0,6.0,15.0,4.0,7.0,9.0,7.0,4.0
2016-01-10,2015/2016,Rio Ave,Uniao Madeira,H,,,,2016-01-10,Rio Ave,Uniao Madeira,4.0,8.0,11.0,4.0,7.0,3.0,9.0,4.0
2016-01-10,2015/2016,Sp Lisbon,Sp Braga,H,,,,2016-01-10,Sp Lisbon,Sp Braga,12.0,12.0,2.0,4.0,9.0,6.0,2.0,4.0
2016-01-11,2015/2016,Nacional,Benfica,A,,,,2016-01-11,Nacional,Benfica,3.0,6.0,9.0,5.0,13.0,14.0,3.0,5.0
2016-01-11,2015/2016,Pacos Ferreira,Setubal,H,,,,2016-01-11,Pacos Ferreira,Setubal,8.0,12.0,5.0,5.0,7.0,9.0,12.0,5.0
2016-01-15,2015/2016,Sp Lisbon,Tondela,D,,,,2016-01-15,Sp Lisbon,Tondela,12.0,14.0,4.0,5.0,3.0,5.0,10.0,5.0
2016-01-16,2015/2016,Academica,Pacos Ferreira,D,,,,2016-01-16,Academica,Pacos Ferreira,9.0,10.0,11.0,6.0,11.0,13.0,4.0,5.0
